Local time,Open,High,Low,Close,Volume
01.05.2024 00:00:00.000 GMT+0100,2291.745,2292.945,2291.395,2291.995,229900.00190000003
01.05.2024 00:15:00.000 GMT+0100,2291.995,2292.845,2291.252,2292.402,166600.00179999997
01.05.2024 00:30:00.000 GMT+0100,2292.402,2293.542,2292.132,2293.106,141239.9996
01.05.2024 00:45:00.000 GMT+0100,2293.106,2293.135,2290.242,2291.625,354230.0007000001
01.05.2024 01:00:00.000 GMT+0100,2291.575,2293.135,2291.575,2292.575,186310.00069999998
01.05.2024 01:15:00.000 GMT+0100,2292.535,2292.922,2288.375,2290.245,100420.0011
01.05.2024 01:30:00.000 GMT+0100,2290.265,2290.922,2288.155,2288.155,222859.99959999998
01.05.2024 01:45:00.000 GMT+0100,2288.075,2288.836,2286.025,2287.125,164069.99699999994
01.05.2024 02:00:00.000 GMT+0100,2287.055,2288.985,2286.655,2287.505,135459.9989
01.05.2024 02:15:00.000 GMT+0100,2287.552,2288.895,2287.095,2287.875,59939.999500000005
01.05.2024 02:30:00.000 GMT+0100,2287.955,2288.622,2286.332,2288.586,314699.9963
01.05.2024 02:45:00.000 GMT+0100,2288.566,2289.795,2287.935,2288.362,670479.9998000003
01.05.2024 03:00:00.000 GMT+0100,2288.365,2288.985,2287.062,2287.575,388829.9967
01.05.2024 03:15:00.000 GMT+0100,2287.575,2288.402,2287.465,2288.092,259400.0007
01.05.2024 03:30:00.000 GMT+0100,2288.095,2288.586,2287.075,2288.345,184409.9974
01.05.2024 03:45:00.000 GMT+0100,2288.245,2288.885,2287.305,2288.245,44099.9997
01.05.2024 04:00:00.000 GMT+0100,2288.215,2288.595,2287.165,2287.532,163019.9997
01.05.2024 04:15:00.000 GMT+0100,2287.532,2287.712,2285.165,2287.712,193130.0019
01.05.2024 04:30:00.000 GMT+0100,2287.672,2287.712,2285.585,2285.865,58670.000199999995
01.05.2024 04:45:00.000 GMT+0100,2285.946,2286.045,2283.315,2284.402,122729.9998
01.05.2024 05:00:00.000 GMT+0100,2284.395,2284.762,2282.165,2282.855,153969.99860000002
01.05.2024 05:15:00.000 GMT+0100,2282.645,2283.742,2281.855,2283.702,111299.99940000002
01.05.2024 05:30:00.000 GMT+0100,2283.715,2285.715,2283.525,2284.525,82029.9993
01.05.2024 05:45:00.000 GMT+0100,2284.525,2284.675,2283.285,2283.475,62990.0001
01.05.2024 06:00:00.000 GMT+0100,2283.415,2286.712,2282.795,2286.565,82209.99919999999
01.05.2024 06:15:00.000 GMT+0100,2286.636,2286.965,2285.045,2285.755,141569.99959999998
01.05.2024 06:30:00.000 GMT+0100,2285.755,2288.015,2285.635,2287.405,220340.0011
01.05.2024 06:45:00.000 GMT+0100,2287.535,2288.675,2287.245,2287.655,169220.00039999996
01.05.2024 07:00:00.000 GMT+0100,2287.665,2288.385,2286.605,2287.765,151409.9983
01.05.2024 07:15:00.000 GMT+0100,2287.835,2289.602,2287.665,2289.045,196470.00199999998
01.05.2024 07:30:00.000 GMT+0100,2289.045,2290.015,2287.852,2289.082,161860.0008
01.05.2024 07:45:00.000 GMT+0100,2289.085,2289.325,2286.935,2287.122,301860.0042
01.05.2024 08:00:00.000 GMT+0100,2287.125,2288.255,2286.635,2286.705,412110.00080000004
01.05.2024 08:15:00.000 GMT+0100,2286.715,2287.695,2286.282,2287.125,305399.9983
01.05.2024 08:30:00.000 GMT+0100,2287.145,2287.245,2283.745,2284.245,418139.99679999996
01.05.2024 08:45:00.000 GMT+0100,2284.255,2286.525,2283.855,2286.152,407969.9992000001
01.05.2024 09:00:00.000 GMT+0100,2286.135,2287.112,2284.935,2286.105,425060.00010000006
01.05.2024 09:15:00.000 GMT+0100,2286.105,2286.255,2284.105,2286.195,586470.0004
01.05.2024 09:30:00.000 GMT+0100,2286.105,2286.895,2284.735,2285.015,606439.9964999999
01.05.2024 09:45:00.000 GMT+0100,2284.965,2286.715,2284.215,2286.562,640200.0011999999
01.05.2024 10:00:00.000 GMT+0100,2286.572,2289.632,2285.992,2288.685,557699.9932
01.05.2024 10:15:00.000 GMT+0100,2288.635,2288.635,2286.285,2287.712,460559.9994
01.05.2024 10:30:00.000 GMT+0100,2287.735,2290.095,2287.592,2289.802,581729.9947
01.05.2024 10:45:00.000 GMT+0100,2289.802,2293.395,2289.635,2292.192,505430.0015999999
01.05.2024 11:00:00.000 GMT+0100,2292.212,2292.326,2289.396,2291.835,669730.0018999998
