Local time,Open,High,Low,Close,Volume
01.05.2024 00:00:00.000 GMT+0100,2291.745,2293.542,2290.242,2291.625,891969.9788
01.05.2024 01:00:00.000 GMT+0100,2291.575,2293.135,2286.025,2287.125,673659.9803
01.05.2024 02:00:00.000 GMT+0100,2287.055,2289.795,2286.332,2288.362,1180580.02
01.05.2024 03:00:00.000 GMT+0100,2288.365,2288.985,2287.062,2288.245,876739.9788
01.05.2024 04:00:00.000 GMT+0100,2288.215,2288.595,2283.315,2284.402,537549.9725
01.05.2024 05:00:00.000 GMT+0100,2284.395,2285.715,2281.855,2283.475,410290.0028
01.05.2024 06:00:00.000 GMT+0100,2283.415,2288.675,2282.795,2287.655,613340.0202
01.05.2024 07:00:00.000 GMT+0100,2287.665,2290.015,2286.605,2287.122,811600.0295
01.05.2024 08:00:00.000 GMT+0100,2287.125,2288.255,2283.745,2286.152,1543619.9903
01.05.2024 09:00:00.000 GMT+0100,2286.135,2287.112,2284.105,2286.562,2258169.8895
01.05.2024 10:00:00.000 GMT+0100,2286.572,2293.395,2285.992,2292.192,2105420.1126
01.05.2024 11:00:00.000 GMT+0100,2292.212,2294.615,2289.396,2293.465,2207829.9522
01.05.2024 12:00:00.000 GMT+0100,2293.465,2297.355,2291.595,2294.785,1367089.9868
01.05.2024 13:00:00.000 GMT+0100,2294.805,2300.285,2294.445,2298.485,4069781.7802
01.05.2024 14:00:00.000 GMT+0100,2298.485,2303.835,2295.475,2303.435,4072740.078
01.05.2024 15:00:00.000 GMT+0100,2303.675,2310.695,2297.745,2304.762,6842730.0453
01.05.2024 16:00:00.000 GMT+0100,2304.806,2310.755,2302.815,2307.525,3104990.0055
01.05.2024 17:00:00.000 GMT+0100,2307.562,2307.585,2302.105,2303.975,2502000.0935
01.05.2024 18:00:00.000 GMT+0100,2303.945,2305.275,2297.845,2300.885,3201570.034
01.05.2024 19:00:00.000 GMT+0100,2300.745,2328.665,2296.435,2325.495,6677899.8375
01.05.2024 20:00:00.000 GMT+0100,2325.575,2328.175,2310.062,2310.102,4802279.9492
01.05.2024 21:00:00.000 GMT+0100,2310.082,2320.892,2307.385,2320.215,4470389.843
01.05.2024 22:00:00.000 GMT+0100,2320.215,2320.215,2320.215,2320.215,0
01.05.2024 23:00:00.000 GMT+0100,2320.562,2323.605,2318.665,2321.232,502730.0119
02.05.2024 00:00:00.000 GMT+0100,2321.345,2325.065,2321.162,2323.995,625060.0219
02.05.2024 01:00:00.000 GMT+0100,2323.995,2326.175,2323.185,2324.605,547860.0264
02.05.2024 02:00:00.000 GMT+0100,2324.565,2326.695,2321.995,2324.355,639800.0121
02.05.2024 03:00:00.000 GMT+0100,2324.335,2325.845,2319.022,2320.465,1039669.9905
02.05.2024 04:00:00.000 GMT+0100,2320.465,2320.915,2317.575,2319.765,750249.9819
02.05.2024 05:00:00.000 GMT+0100,2319.835,2321.235,2318.325,2318.415,281489.9981
02.05.2024 06:00:00.000 GMT+0100,2318.415,2318.645,2313.225,2315.252,1192229.9862
02.05.2024 07:00:00.000 GMT+0100,2315.252,2319.362,2312.795,2313.922,2758290.0524
02.05.2024 08:00:00.000 GMT+0100,2313.806,2315.332,2308.405,2309.505,2231699.9435
02.05.2024 09:00:00.000 GMT+0100,2309.505,2311.365,2303.325,2304.305,3232850.0748
02.05.2024 10:00:00.000 GMT+0100,2304.305,2305.725,2299.085,2302.185,3507430.0766
02.05.2024 11:00:00.000 GMT+0100,2302.162,2302.162,2295.475,2299.605,3811769.9623
02.05.2024 12:00:00.000 GMT+0100,2299.636,2303.242,2297.795,2299.275,3136250.0191
02.05.2024 13:00:00.000 GMT+0100,2299.225,2304.732,2293.862,2294.762,4065599.9184
02.05.2024 14:00:00.000 GMT+0100,2294.772,2296.056,2285.772,2292.105,8040129.6616
02.05.2024 15:00:00.000 GMT+0100,2292.145,2305.095,2287.972,2304.255,5884719.8486
02.05.2024 16:00:00.000 GMT+0100,2304.275,2307.215,2297.555,2300.155,4777649.8795
02.05.2024 17:00:00.000 GMT+0100,2300.185,2304.095,2298.125,2299.895,2671080.1125
02.05.2024 18:00:00.000 GMT+0100,2299.895,2308.835,2299.525,2308.295,2702460.0506
02.05.2024 19:00:00.000 GMT+0100,2308.295,2309.715,2305.325,2308.302,1507779.9559
02.05.2024 20:00:00.000 GMT+0100,2308.302,2308.345,2301.875,2303.175,2594850.0633
02.05.2024 21:00:00.000 GMT+0100,2303.145,2304.385,2300.965,2303.995,933489.9783
02.05.2024 22:00:00.000 GMT+0100,2303.995,2303.995,2303.995,2303.995,0
02.05.2024 23:00:00.000 GMT+0100,2304.912,2306.005,2304.095,2304.305,342750.0129
03.05.2024 00:00:00.000 GMT+0100,2304.385,2304.862,2302.725,2304.525,708109.9749
03.05.2024 01:00:00.000 GMT+0100,2304.515,2305.145,2300.585,2304.285,842369.9737
03.05.2024 02:00:00.000 GMT+0100,2304.265,2306.625,2302.135,2302.915,1621670.0077
03.05.2024 03:00:00.000 GMT+0100,2302.915,2303.325,2300.165,2301.395,1113129.9734
03.05.2024 04:00:00.000 GMT+0100,2301.355,2302.705,2300.865,2302.705,1025969.9821
03.05.2024 05:00:00.000 GMT+0100,2302.705,2308.355,2302.465,2307.705,972769.9757
03.05.2024 06:00:00.000 GMT+0100,2307.725,2308.995,2306.005,2306.245,460979.9981
03.05.2024 07:00:00.000 GMT+0100,2306.265,2306.625,2298.575,2298.775,1359050.0355
03.05.2024 08:00:00.000 GMT+0100,2298.755,2301.682,2298.045,2299.445,1395650.0292
03.05.2024 09:00:00.000 GMT+0100,2299.375,2302.925,2298.615,2301.675,1688339.9487
03.05.2024 10:00:00.000 GMT+0100,2301.575,2303.425,2299.722,2301.835,1248950.0046
03.05.2024 11:00:00.000 GMT+0100,2301.815,2301.985,2298.225,2299.385,1435510.0393
03.05.2024 12:00:00.000 GMT+0100,2299.415,2300.155,2296.615,2298.535,2167490.0055
