Local time,Open,High,Low,Close,Volume
01.05.2024 00:00:00.000 GMT+0100,2291.225,2293.175,2289.925,2291.265,574320.0183
01.05.2024 01:00:00.000 GMT+0100,2291.185,2292.765,2285.575,2286.765,794560.0152
01.05.2024 02:00:00.000 GMT+0100,2286.685,2289.315,2285.888,2287.875,1376289.9637
01.05.2024 03:00:00.000 GMT+0100,2287.875,2288.515,2286.595,2287.875,999210
01.05.2024 04:00:00.000 GMT+0100,2287.855,2288.225,2282.745,2284.075,377849.9961
01.05.2024 05:00:00.000 GMT+0100,2284.025,2285.355,2281.515,2283.105,600669.98
01.05.2024 06:00:00.000 GMT+0100,2283.045,2288.315,2282.435,2287.348,785459.9953
01.05.2024 07:00:00.000 GMT+0100,2287.348,2289.695,2286.295,2286.705,1369320.035
01.05.2024 08:00:00.000 GMT+0100,2286.685,2287.825,2283.365,2285.725,1873280.0484
01.05.2024 09:00:00.000 GMT+0100,2285.725,2286.685,2283.695,2286.155,1279260.0393
01.05.2024 10:00:00.000 GMT+0100,2286.155,2293.005,2285.595,2291.865,1658200.0256
01.05.2024 11:00:00.000 GMT+0100,2291.975,2294.215,2288.985,2293.018,1299929.9765
01.05.2024 12:00:00.000 GMT+0100,2293.015,2296.975,2291.288,2294.445,2335690.0215
01.05.2024 13:00:00.000 GMT+0100,2294.445,2299.905,2294.028,2298.125,4357100.0099
01.05.2024 14:00:00.000 GMT+0100,2298.155,2303.325,2295.145,2302.934,5391399.8604
01.05.2024 15:00:00.000 GMT+0100,2302.934,2310.278,2297.325,2304.355,7879839.8972
01.05.2024 16:00:00.000 GMT+0100,2304.535,2310.325,2302.385,2307.128,5607190.1321
01.05.2024 17:00:00.000 GMT+0100,2307.215,2307.238,2301.705,2303.618,3191119.9093
01.05.2024 18:00:00.000 GMT+0100,2303.515,2304.855,2297.455,2299.445,2675570.0111
01.05.2024 19:00:00.000 GMT+0100,2299.375,2328.225,2295.445,2325.128,7946710.1097
01.05.2024 20:00:00.000 GMT+0100,2325.204,2327.745,2309.665,2309.675,6043025.9705
01.05.2024 21:00:00.000 GMT+0100,2309.795,2320.535,2306.948,2318.115,2448369.9799
01.05.2024 22:00:00.000 GMT+0100,2318.115,2318.115,2318.115,2318.115,0
01.05.2024 23:00:00.000 GMT+0100,2319.298,2323.155,2317.895,2320.755,619660.0199
02.05.2024 00:00:00.000 GMT+0100,2320.825,2324.685,2320.628,2323.638,1039690.0177
02.05.2024 01:00:00.000 GMT+0100,2323.678,2325.885,2322.835,2324.255,1208870.0533
02.05.2024 02:00:00.000 GMT+0100,2324.255,2326.325,2321.625,2323.985,771539.9861
02.05.2024 03:00:00.000 GMT+0100,2323.965,2325.475,2318.665,2320.108,771309.9718
02.05.2024 04:00:00.000 GMT+0100,2320.095,2320.515,2317.205,2319.395,616460.0253
02.05.2024 05:00:00.000 GMT+0100,2319.475,2320.875,2317.998,2318.078,274269.9981
02.05.2024 06:00:00.000 GMT+0100,2318.055,2318.298,2312.878,2314.925,878380.0006
02.05.2024 07:00:00.000 GMT+0100,2314.905,2318.995,2312.378,2313.565,2018630.0278
02.05.2024 08:00:00.000 GMT+0100,2313.445,2314.995,2308.025,2309.115,3176889.8964
02.05.2024 09:00:00.000 GMT+0100,2309.225,2310.915,2302.914,2303.888,2063940.0482
02.05.2024 10:00:00.000 GMT+0100,2303.865,2305.265,2298.678,2301.755,2349639.8926
02.05.2024 11:00:00.000 GMT+0100,2301.755,2301.755,2295.065,2299.235,1506379.962
02.05.2024 12:00:00.000 GMT+0100,2299.335,2302.825,2297.418,2298.878,2407900.095
02.05.2024 13:00:00.000 GMT+0100,2298.824,2304.355,2293.455,2294.385,4963709.8312
02.05.2024 14:00:00.000 GMT+0100,2294.385,2295.755,2285.358,2291.455,4945740.2229
02.05.2024 15:00:00.000 GMT+0100,2291.455,2304.698,2287.575,2303.865,6535639.7629
02.05.2024 16:00:00.000 GMT+0100,2303.865,2306.825,2297.165,2299.773,4265820.0264
02.05.2024 17:00:00.000 GMT+0100,2299.805,2303.685,2297.805,2299.498,3479619.9799
02.05.2024 18:00:00.000 GMT+0100,2299.475,2308.408,2299.195,2307.908,2575769.9013
02.05.2024 19:00:00.000 GMT+0100,2307.874,2309.335,2304.918,2307.885,2571520.0901
02.05.2024 20:00:00.000 GMT+0100,2307.878,2307.915,2301.478,2302.795,2806780.0999
02.05.2024 21:00:00.000 GMT+0100,2302.748,2303.895,2300.535,2303.305,981999.9933
02.05.2024 22:00:00.000 GMT+0100,2303.305,2303.305,2303.305,2303.305,0
02.05.2024 23:00:00.000 GMT+0100,2303.088,2305.545,2303.088,2303.785,221279.9937
03.05.2024 00:00:00.000 GMT+0100,2303.795,2304.385,2302.305,2304.115,473479.9862
03.05.2024 01:00:00.000 GMT+0100,2304.115,2304.735,2300.148,2303.855,925149.9772
03.05.2024 02:00:00.000 GMT+0100,2303.815,2306.208,2301.675,2302.525,1140640.0204
03.05.2024 03:00:00.000 GMT+0100,2302.505,2302.885,2299.725,2300.935,1080369.9493
03.05.2024 04:00:00.000 GMT+0100,2300.905,2302.345,2300.415,2302.345,511659.9798
03.05.2024 05:00:00.000 GMT+0100,2302.365,2307.955,2302.028,2307.255,878279.984
03.05.2024 06:00:00.000 GMT+0100,2307.265,2308.615,2305.655,2305.918,845730.0067
03.05.2024 07:00:00.000 GMT+0100,2305.918,2306.225,2298.225,2298.405,1075880.0507
03.05.2024 08:00:00.000 GMT+0100,2298.385,2301.325,2297.675,2299.078,1282150.0301
03.05.2024 09:00:00.000 GMT+0100,2299.105,2302.555,2298.255,2301.305,950969.9941
03.05.2024 10:00:00.000 GMT+0100,2301.235,2303.055,2299.375,2301.455,1339840.0545
03.05.2024 11:00:00.000 GMT+0100,2301.455,2301.595,2297.855,2299.085,596960.0081
03.05.2024 12:00:00.000 GMT+0100,2299.085,2299.728,2296.265,2298.215,1151239.9912
03.05.2024 13:00:00.000 GMT+0100,2298.195,2320.548,2294.475,2304.685,6924280.1666
03.05.2024 14:00:00.000 GMT+0100,2304.685,2308.815,2277.165,2289.608,10074170.1126
03.05.2024 15:00:00.000 GMT+0100,2289.785,2302.385,2283.014,2291.095,9328280.4489
03.05.2024 16:00:00.000 GMT+0100,2291.095,2298.878,2289.525,2293.598,6418670.1775
03.05.2024 17:00:00.000 GMT+0100,2293.608,2300.165,2292.735,2299.185,3681459.9037
03.05.2024 18:00:00.000 GMT+0100,2299.135,2302.985,2296.268,2301.915,2986170.0535
03.05.2024 19:00:00.000 GMT+0100,2301.955,2302.825,2297.275,2299.145,2112070.0836
03.05.2024 20:00:00.000 GMT+0100,2299.145,2301.368,2295.875,2301.268,1233940.0053
03.05.2024 21:00:00.000 GMT+0100,2301.255,2303.235,2300.545,2301.175,1175780.0579
03.05.2024 22:00:00.000 GMT+0100,2301.175,2301.175,2301.175,2301.175,0
03.05.2024 23:00:00.000 GMT+0100,2301.175,2301.175,2301.175,2301.175,0
04.05.2024 00:00:00.000 GMT+0100,2301.175,2301.175,2301.175,2301.175,0
04.05.2024 01:00:00.000 GMT+0100,2301.175,2301.175,2301.175,2301.175,0
04.05.2024 02:00:00.000 GMT+0100,2301.175,2301.175,2301.175,2301.175,0
04.05.2024 03:00:00.000 GMT+0100,2301.175,2301.175,2301.175,2301.175,0
04.05.2024 04:00:00.000 GMT+0100,2301.175,2301.175,2301.175,2301.175,0
04.05.2024 05:00:00.000 GMT+0100,2301.175,2301.175,2301.175,2301.175,0
04.05.2024 06:00:00.000 GMT+0100,2301.175,2301.175,2301.175,2301.175,0
04.05.2024 07:00:00.000 GMT+0100,2301.175,2301.175,2301.175,2301.175,0
04.05.2024 08:00:00.000 GMT+0100,2301.175,2301.175,2301.175,2301.175,0
04.05.2024 09:00:00.000 GMT+0100,2301.175,2301.175,2301.175,2301.175,0
04.05.2024 10:00:00.000 GMT+0100,2301.175,2301.175,2301.175,2301.175,0
04.05.2024 11:00:00.000 GMT+0100,2301.175,2301.175,2301.175,2301.175,0
04.05.2024 12:00:00.000 GMT+0100,2301.175,2301.175,2301.175,2301.175,0
04.05.2024 13:00:00.000 GMT+0100,2301.175,2301.175,2301.175,2301.175,0
04.05.2024 14:00:00.000 GMT+0100,2301.175,2301.175,2301.175,2301.175,0
04.05.2024 15:00:00.000 GMT+0100,2301.175,2301.175,2301.175,2301.175,0
