Local time,Open,High,Low,Close,Volume
01.11.2024 00:00:00.000 GMT-0000,2746.545,2747.175,2745.695,2746.735,200880.00170000002
01.11.2024 00:15:00.000 GMT-0000,2746.755,2747.075,2745.615,2746.405,203909.99940000003
01.11.2024 00:30:00.000 GMT-0000,2746.395,2746.594,2745.265,2746.345,303929.9995
01.11.2024 00:45:00.000 GMT-0000,2746.345,2746.805,2744.695,2744.888,522479.99889999995
01.11.2024 01:00:00.000 GMT-0000,2744.865,2747.665,2744.705,2747.018,669689.9999
01.11.2024 01:15:00.000 GMT-0000,2746.995,2747.675,2745.335,2746.795,696509.9963999998
01.11.2024 01:30:00.000 GMT-0000,2746.795,2747.975,2745.258,2746.605,1178669.9929
01.11.2024 01:45:00.000 GMT-0000,2746.605,2749.895,2746.575,2749.645,962849.9951
01.11.2024 02:00:00.000 GMT-0000,2749.635,2750.875,2746.365,2746.795,1025070.0096999999
01.11.2024 02:15:00.000 GMT-0000,2746.825,2748.235,2746.505,2747.965,463889.9955
01.11.2024 02:30:00.000 GMT-0000,2747.965,2749.575,2745.625,2748.545,1399890.0017000001
01.11.2024 02:45:00.000 GMT-0000,2748.495,2748.955,2746.165,2748.595,1281270.005
01.11.2024 03:00:00.000 GMT-0000,2748.615,2749.095,2747.255,2748.754,1071150.0048999998
01.11.2024 03:15:00.000 GMT-0000,2748.754,2750.035,2748.165,2749.875,595380.0062999999
01.11.2024 03:30:00.000 GMT-0000,2749.845,2750.985,2748.895,2749.648,204509.99970000001
01.11.2024 03:45:00.000 GMT-0000,2749.648,2751.805,2749.275,2751.625,482190.0015
01.11.2024 04:00:00.000 GMT-0000,2751.625,2751.945,2751.025,2751.245,245339.9982
01.11.2024 04:15:00.000 GMT-0000,2751.245,2751.675,2750.615,2751.605,129720.0004
01.11.2024 04:30:00.000 GMT-0000,2751.585,2752.305,2751.095,2752.085,149490.0004
01.11.2024 04:45:00.000 GMT-0000,2752.085,2752.815,2751.295,2752.095,246780.0026
01.11.2024 05:00:00.000 GMT-0000,2752.095,2752.888,2752.065,2752.385,268620.00080000004
01.11.2024 05:15:00.000 GMT-0000,2752.435,2752.865,2751.485,2752.005,345089.9982
01.11.2024 05:30:00.000 GMT-0000,2751.965,2753.988,2751.724,2752.975,701369.9885999999
01.11.2024 05:45:00.000 GMT-0000,2753.008,2755.045,2752.675,2754.825,622500.0025
01.11.2024 06:00:00.000 GMT-0000,2754.855,2757.535,2754.615,2756.545,846720.0027
01.11.2024 06:15:00.000 GMT-0000,2756.525,2756.565,2752.435,2752.705,814920.0006000003
01.11.2024 06:30:00.000 GMT-0000,2752.705,2754.045,2751.145,2751.615,758639.9913
01.11.2024 06:45:00.000 GMT-0000,2751.565,2753.445,2751.565,2751.858,703829.9961000001
01.11.2024 07:00:00.000 GMT-0000,2751.855,2753.025,2749.875,2750.225,656130.0092
01.11.2024 07:15:00.000 GMT-0000,2750.225,2751.895,2749.715,2750.005,695610.0015
01.11.2024 07:30:00.000 GMT-0000,2749.985,2750.455,2747.055,2747.195,1365829.9895000001
01.11.2024 07:45:00.000 GMT-0000,2747.195,2749.605,2747.135,2749.555,1679429.9707
01.11.2024 08:00:00.000 GMT-0000,2749.535,2752.765,2748.455,2752.355,1283580.0052
01.11.2024 08:15:00.000 GMT-0000,2752.345,2754.338,2751.535,2753.978,913330.0016
01.11.2024 08:30:00.000 GMT-0000,2753.988,2754.948,2751.775,2754.655,747719.9977999999
01.11.2024 08:45:00.000 GMT-0000,2754.655,2754.655,2751.295,2753.335,648580.0073
01.11.2024 09:00:00.000 GMT-0000,2753.335,2755.045,2752.225,2754.985,473629.9999
01.11.2024 09:15:00.000 GMT-0000,2754.985,2755.345,2752.028,2752.974,484030.0027
01.11.2024 09:30:00.000 GMT-0000,2752.974,2753.018,2747.854,2750.995,761720.0090000001
01.11.2024 09:45:00.000 GMT-0000,2750.975,2752.485,2749.845,2751.255,495129.9969
01.11.2024 10:00:00.000 GMT-0000,2751.255,2751.735,2750.225,2750.295,642359.9998
01.11.2024 10:15:00.000 GMT-0000,2750.295,2750.595,2747.155,2747.245,1041160.0174999998
01.11.2024 10:30:00.000 GMT-0000,2747.265,2748.215,2744.685,2746.905,897869.9964999999
01.11.2024 10:45:00.000 GMT-0000,2746.915,2750.075,2746.545,2749.515,854510.0094000001
01.11.2024 11:00:00.000 GMT-0000,2749.535,2752.945,2749.535,2751.485,671190.0048
01.11.2024 11:15:00.000 GMT-0000,2751.485,2753.985,2751.275,2752.195,392139.99640000006
01.11.2024 11:30:00.000 GMT-0000,2752.195,2753.315,2751.525,2752.815,341740.001
01.11.2024 11:45:00.000 GMT-0000,2752.815,2753.725,2751.925,2752.795,545540.0021
01.11.2024 12:00:00.000 GMT-0000,2752.815,2754.085,2751.535,2753.685,650020.0127999999
01.11.2024 12:15:00.000 GMT-0000,2753.725,2754.515,2748.938,2748.938,955089.9976
